,artist_name,popularity,track_id,track_name,uri,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
1276,Jazz Instrumental Relax Center,15,2OT3icmjBcF8spwHSeS8zx,Essential Jazz Music,spotify:artist:1II49wL7Bne9Y9QEaOzLQC,0.833,0.723,216999,0.234,0.841,11,0.0846,-19.728,1,0.0549,79.99,4,0.283
1277,Tyla Yaweh,72,3McTpsUQfEDrlNd2ikro2E,All the Smoke (feat. Gunna & Wiz Khalifa),spotify:artist:1MXZ0hsGic96dWRDKwAwdr,0.0321,0.712,211237,0.822,0.0,6,0.239,-3.728,0,0.131,91.011,4,0.469
1278,Jazz Instrumental Relax Center,16,5dtIHeCX695uBLnlGl9HXW,Chill for Happy Ending,spotify:artist:1II49wL7Bne9Y9QEaOzLQC,0.152,0.749,175000,0.397,0.739,10,0.135,-10.89,0,0.0934,90.079,4,0.506
1279,Miley Cyrus,73,4U34WsyOvppOMnRfq7DuOy,Night Crawling (feat. Billy Idol),spotify:artist:5YGY8feqx7naU7z4HrwZM6,0.0378,0.638,189013,0.918,0.00805,11,0.0948,-4.368,1,0.0382,134.022,4,0.668
1280,Jazz Instrumental Relax Center,15,3uA4tsNuj7QFyNX3f0oF8o,Christmas Holidays,spotify:artist:1II49wL7Bne9Y9QEaOzLQC,0.157,0.67,261639,0.342,0.905,1,0.135,-16.659,1,0.04,91.412,4,0.402
1281,DUSTY LOCANE,72,14mc78ctIxHOMYz5fWja7Q,Rolando (Caught In The Rain),spotify:artist:22hWz22JAmIhIEp0u1X01L,0.467,0.597,142315,0.689,0.0,5,0.562,-4.303,1,0.446,118.35,4,0.644
1282,J-Dooly,7,3jVVpgqYbRqbWaluAOuU09,Never.,spotify:artist:0fS1aOC9PyZ6eJhadYveWm,0.437,0.953,254067,0.606,0.0,6,0.116,-5.635,0,0.291,121.015,4,0.376
1283,Playboi Carti,69,5uYqmEN6TAAE8ss8YmprNV,Teen X (feat. Future),spotify:artist:699OTQXzgjhIYAHMy9RyPD,0.00124,0.437,205996,0.671,9.87e-06,1,0.136,-4.985,1,0.122,197.192,3,0.0936
1284,J-Dooly,7,2RZ6dclbxmBeL76mpC2sCn,So High.,spotify:artist:0fS1aOC9PyZ6eJhadYveWm,0.112,0.947,261616,0.385,6.31e-05,1,0.12,-7.329,1,0.086,130.015,4,0.1
1285,Zoe Wees,78,50Td3qilgs8BLtv8mHyT1t,Control,spotify:artist:03d2mJXSMtuPI0nIvLnhoS,0.643,0.599,230880,0.465,1.57e-06,4,0.149,-4.95,1,0.0314,113.82,4,0.0678
1286,Craig Connelly,19,5mjiTLpPDIF6uXON8q6HpP,Time Machine,spotify:artist:78UUH1buA0gDtDnkX2dPgL,0.0703,0.543,222609,0.831,0.3,4,0.356,-8.388,0,0.0463,137.989,4,0.252
1287,Lil Yachty,69,0gO3E51A3fqp0ypJ26QbVP,"T.D (Lil Yachty & Tierra Whack feat. A$AP Rocky & Tyler, The Creator)",spotify:artist:6icQOAFXDZKsumw3YXyusw,0.156,0.784,232839,0.632,0.0,10,0.605,-6.083,0,0.347,124.603,4,0.746
1288,The Pissed Alpacas,8,3U4Ty7DSkYNbVWt8PJdoGv,"December 31, 2020: New Years Eve (Instrumental)",spotify:artist:3XXGOAF6YJwCjGqYmppvTr,0.0112,0.377,97369,0.948,0.957,7,0.345,-7.884,1,0.0696,114.995,4,0.227
1289,Giveon,69,4rHIfYRQw6ittRQXAlurk0,FAVORITE MISTAKE,spotify:artist:4fxd5Ee7UefO4CUXgwJ7IP,0.777,0.535,172907,0.409,0.0,7,0.129,-9.517,0,0.0857,170.121,4,0.138
1290,J-Dooly,7,2vsvgBTVLPApnhck5OIFo8,"Go, Go, Goooo, Go.",spotify:artist:0fS1aOC9PyZ6eJhadYveWm,0.0136,0.881,148088,0.72,0.0146,11,0.142,-6.718,0,0.248,144.963,4,0.463
1291,YoungBoy Never Broke Again,66,7jGhydOLVj84A9rKheLIu6,Green Dot,spotify:artist:7wlFDEWiM5OoIAt8RSli8b,0.106,0.758,186880,0.701,0.0,6,0.0752,-4.925,1,0.361,167.092,4,0.693
1292,Genix,19,0PDo09hlZuyOMz3hQ07645,Zuul,spotify:artist:5WWUkLXiAbmGwtELcfvB2w,0.0283,0.567,191250,0.941,0.788,2,0.172,-8.143,1,0.0522,127.999,4,0.36
1293,Mario Judah,69,4vlbRQou38tQNakQWeme16,Bih Yah,spotify:artist:5HFSWl4JPwju06kHxukvTe,0.00729,0.743,157504,0.7,0.0242,1,0.123,-4.714,1,0.175,153.079,4,0.378
1294,Armin van Buuren,18,1J6igJLx72BzTRgA5aNc7m,Punisher,spotify:artist:0SfsnGyD8FpIN4U4WCkBZ5,0.0182,0.694,180952,0.88,0.772,8,0.452,-6.234,1,0.0827,125.994,4,0.0431
1295,Kid Cudi,68,4EjbAh7YHU3VARkfkamZ8R,The Pale Moonlight,spotify:artist:0fA0VVWsXO9YnASrzqfmYu,0.455,0.576,176293,0.807,6.6e-05,7,0.209,-7.733,0,0.252,160.009,4,0.612
